ONIMI,OKOOD,MNIMI,MKOOD,AREA,MEHED,NAISED,KOKKU,DENSITY
Vastseliina vald,0874,Võru maakond,0086,220194769.98514003,1012,963,1975,8.97
Veriora vald,0879,Põlva maakond,0065,199779087.3177906,687,686,1373,6.87
Vigala vald,0884,Rapla maakond,0070,268881708.78016937,644,604,1248,4.64
Vihula vald,0887,Lääne-Viru maakond,0059,365887259.82737327,1051,879,1930,5.27
Viimsi vald,0890,Harju maakond,0037,73013274.44171436,9391,9651,19042,260.8
Viljandi linn,0897,Viljandi maakond,0084,14623400.59715661,7995,9963,17958,1228.03
Viljandi vald,0898,Viljandi maakond,0084,648554869.1959455,4779,4517,9296,14.33
Vinni vald,0900,Lääne-Viru maakond,0059,486125434.1061168,2325,2390,4715,9.7
Viru-Nigula vald,0902,Lääne-Viru maakond,0059,234248882.05143645,703,605,1308,5.58
Vormsi vald,0907,Lääne maakond,0057,94689915.79823469,256,169,425,4.49
Väike-Maarja vald,0926,Lääne-Viru maakond,0059,456349659.8817501,2232,2254,4486,9.83
Vändra vald,0929,Pärnu maakond,0067,639936146.750953,1416,1285,2701,4.22
Vändra vald (alev),0931,Pärnu maakond,0067,3251361.632380448,1017,1170,2187,672.64
Värska vald,0934,Põlva maakond,0065,187171663.08547026,712,659,1371,7.32
Väätsa vald,0937,Järva maakond,0051,194580708.13587943,650,602,1252,6.43
Võhma linn,0912,Viljandi maakond,0084,1936513.8478215372,650,682,1332,687.83
Võnnu vald,0915,Tartu maakond,0078,231796855.89042684,597,565,1162,5.01
Võru linn,0919,Võru maakond,0086,13968316.590416653,5562,6805,12367,885.36
Võru vald,0918,Võru maakond,0086,200833268.2149158,2425,2374,4799,23.9
Õru vald,0943,Valga maakond,0082,104189780.50558588,258,207,465,4.46
Ülenurme vald,0949,Tartu maakond,0078,85888426.30711164,3759,3690,7449,86.73
